"","country","date","ccode","year","Month","Election.Lower","Inauguration.Lower","Election.Upper","Inauguration.Upper","Election.Exec","Inauguration.Exec","Combo","who","sessions","reservedareasecandfin","urgencybills","residualdecree","cdacontent","cdaoutcome","referendum2","budgetspending","budgetoutcome","vetochambers","vetooverride","lineitem","partialobservationsoverride","budgetveto","h_ballot","h_vote","h_pool","s_ballot","s_vote","s_pool","hpartys","govsh","mingov","govcoal"
"95","Argentina",Nov 1986,10,1986,"November",NA,NA,NA,NA,NA,NA,5,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"96","Argentina",Dec 1986,10,1986,"December",NA,NA,NA,NA,NA,NA,5,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"97","Argentina",Jan 1987,10,1987,"January",NA,NA,NA,NA,NA,NA,5,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"98","Argentina",Feb 1987,10,1987,"February",NA,NA,NA,NA,NA,NA,5,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"99","Argentina",Mar 1987,10,1987,"March",NA,NA,NA,NA,NA,NA,5,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"100","Argentina",Apr 1987,10,1987,"April",NA,NA,NA,NA,NA,NA,5,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"101","Argentina",May 1987,10,1987,"May",NA,NA,NA,NA,NA,NA,5,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"102","Argentina",Jun 1987,10,1987,"June",NA,NA,NA,NA,NA,NA,5,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"103","Argentina",Jul 1987,10,1987,"July",NA,NA,NA,NA,NA,NA,5,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"104","Argentina",Aug 1987,10,1987,"August",NA,NA,NA,NA,NA,NA,5,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"105","Argentina",Sep 1987,10,1987,"September",NA,NA,NA,NA,NA,NA,5,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"106","Argentina",Oct 1987,10,1987,"October",NA,NA,NA,NA,NA,NA,5,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"107","Argentina",Nov 1987,10,1987,"November",NA,NA,NA,NA,NA,NA,5,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
